Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/05/1980,12/08/1980,34,55,11
11/18/1980,11/18/1980,31,56,12
09/09/1980,09/09/1980,37,54,7
08/12/1980,08/12/1980,32,54,13
07/08/1980,07/08/1980,32,54,12
06/24/1980,06/24/1980,30,58,10
06/10/1980,06/10/1980,32,55,11
05/27/1980,05/27/1980,38,51,10
05/13/1980,05/13/1980,38,50,10
04/29/1980,04/29/1980,42,47,10
04/08/1980,04/08/1980,38,50,10
03/24/1980,03/24/1980,39,50,10
03/04/1980,03/04/1980,42,44,12
02/26/1980,02/26/1980,51,38,10
01/29/1980,01/29/1980,55,35,8
01/22/1980,01/22/1980,57,32,9
01/02/1980,01/02/1980,56,33,10
12/04/1979,12/04/1979,54,35,10
11/27/1979,11/27/1979,51,36,11
11/13/1979,11/13/1979,37,49,12
10/30/1979,10/30/1979,31,55,12
10/12/1979,10/15/1979,31,54,13
10/02/1979,10/02/1979,28,58,12
09/25/1979,09/25/1979,32,53,13
09/04/1979,09/04/1979,29,55,14
08/14/1979,08/14/1979,32,53,13
08/07/1979,08/07/1979,33,54,11
07/31/1979,07/31/1979,32,53,14
07/30/1979,07/30/1979,32,53,14
07/10/1979,07/10/1979,29,57,13
06/26/1979,06/26/1979,28,59,12
06/19/1979,06/19/1979,29,56,13
05/29/1979,05/29/1979,29,55,15
05/15/1979,05/15/1979,32,52,15
05/01/1979,05/01/1979,37,48,14
04/03/1979,04/03/1979,40,45,13
03/20/1979,03/20/1979,42,43,13
03/13/1979,03/13/1979,46,39,13
02/27/1979,02/27/1979,39,47,12
02/20/1979,02/20/1979,37,46,16
01/30/1979,01/30/1979,42,42,15
01/16/1979,01/16/1979,43,41,15
01/02/1979,01/02/1979,50,35,13
12/05/1978,12/05/1978,51,33,15
11/28/1978,11/28/1978,50,33,16
10/24/1978,10/24/1978,49,36,14
09/19/1978,09/19/1978,47,34,18
09/11/1978,09/11/1978,44,40,15
09/05/1978,09/05/1978,42,41,16
08/15/1978,08/15/1978,42,40,16
08/08/1978,08/08/1978,40,43,16
08/01/1978,08/01/1978,39,43,17
07/18/1978,07/18/1978,38,44,17
07/05/1978,07/05/1978,40,41,18
06/13/1978,06/13/1978,42,42,15
05/30/1978,05/30/1978,43,40,15
05/16/1978,05/16/1978,42,43,14
05/03/1978,05/03/1978,41,42,15
04/25/1978,04/25/1978,41,41,17
04/11/1978,04/11/1978,40,43,15
03/28/1978,03/28/1978,47,38,13
03/07/1978,03/07/1978,49,34,15
03/01/1978,03/01/1978,48,33,18
02/21/1978,02/21/1978,50,33,16
02/11/1978,02/11/1978,46,34,18
01/17/1978,01/17/1978,51,28,19
01/03/1978,01/03/1978,54,26,18
12/06/1977,12/06/1977,56,27,16
11/15/1977,11/15/1977,55,29,14
11/01/1977,11/01/1977,54,30,15
10/25/1977,10/25/1977,51,30,18
10/18/1977,10/18/1977,54,29,16
10/11/1977,10/11/1977,54,29,15
09/27/1977,09/27/1977,59,23,17
09/06/1977,09/06/1977,53,29,17
08/16/1977,08/16/1977,66,15,18
08/02/1977,08/02/1977,59,22,17
07/19/1977,07/19/1977,66,17,16
07/05/1977,07/05/1977,62,22,15
06/14/1977,06/14/1977,63,17,18
05/31/1977,05/31/1977,62,19,18
05/17/1977,05/17/1977,63,18,17
05/06/1977,05/09/1977,65,18,15
04/29/1977,05/02/1977,63,18,19
04/12/1977,04/12/1977,63,17,19
03/29/1977,03/29/1977,67,14,18
03/22/1977,03/22/1977,71,10,18
03/15/1977,03/15/1977,74,8,16
03/01/1977,03/01/1977,70,9,20
02/15/1977,02/15/1977,71,8,20
02/04/1977,02/07/1977,66,8,26